evidence,CT_win,T_win
"('T_strong', 'T_favored', 'T_streak', 'T_performing')",0.1565664198277165,0.8434335801722835
"('T_strong', 'T_favored', 'T_streak', 'even')",0.26021314387211364,0.7397868561278863
"('T_strong', 'T_favored', 'T_streak', 'CT_performing')",0.5,0.5
"('T_strong', 'T_favored', 'T_slight', 'T_performing')",0.22267871815940837,0.7773212818405916
"('T_strong', 'T_favored', 'T_slight', 'even')",0.2020356791069279,0.7979643208930721
"('T_strong', 'T_favored', 'T_slight', 'CT_performing')",0.3357664233576642,0.6642335766423357
"('T_strong', 'T_favored', 'neutral', 'T_performing')",0.5,0.5
"('T_strong', 'T_favored', 'neutral', 'even')",0.5,0.5
"('T_strong', 'T_favored', 'neutral', 'CT_performing')",0.5,0.5
"('T_strong', 'T_favored', 'CT_slight', 'T_performing')",0.9945054945054945,0.005494505494505495
"('T_strong', 'T_favored', 'CT_slight', 'even')",0.44471744471744473,0.5552825552825553
"('T_strong', 'T_favored', 'CT_slight', 'CT_performing')",0.6642335766423357,0.3357664233576642
"('T_strong', 'T_favored', 'CT_streak', 'T_performing')",0.5,0.5
"('T_strong', 'T_favored', 'CT_streak', 'even')",0.9787234042553192,0.021276595744680854
"('T_strong', 'T_favored', 'CT_streak', 'CT_performing')",0.9891304347826088,0.010869565217391306
"('T_strong', 'balanced', 'T_streak', 'T_performing')",0.20001346740887052,0.7999865325911295
"('T_strong', 'balanced', 'T_streak', 'even')",0.288782332680489,0.7112176673195111
"('T_strong', 'balanced', 'T_streak', 'CT_performing')",0.23598435462842243,0.7640156453715776
"('T_strong', 'balanced', 'T_slight', 'T_performing')",0.12061098988295973,0.8793890101170403
"('T_strong', 'balanced', 'T_slight', 'even')",0.209104819124893,0.790895180875107
"('T_strong', 'balanced', 'T_slight', 'CT_performing')",0.09884266499843603,0.9011573350015639
"('T_strong', 'balanced', 'neutral', 'T_performing')",0.5,0.5
"('T_strong', 'balanced', 'neutral', 'even')",0.5,0.5
"('T_strong', 'balanced', 'neutral', 'CT_performing')",0.5,0.5
"('T_strong', 'balanced', 'CT_slight', 'T_performing')",0.5440888308295232,0.45591116917047675
"('T_strong', 'balanced', 'CT_slight', 'even')",0.39425336466566974,0.6057466353343303
"('T_strong', 'balanced', 'CT_slight', 'CT_performing')",0.6249132546842471,0.3750867453157529
"('T_strong', 'balanced', 'CT_streak', 'T_performing')",0.003154574132492114,0.9968454258675079
"('T_strong', 'balanced', 'CT_streak', 'even')",0.7171814671814671,0.28281853281853275
"('T_strong', 'balanced', 'CT_streak', 'CT_performing')",0.8044421751340312,0.19555782486596884
"('T_strong', 'CT_favored', 'T_streak', 'T_performing')",0.24756178045024568,0.7524382195497543
"('T_strong', 'CT_favored', 'T_streak', 'even')",0.3483903169453456,0.6516096830546544
"('T_strong', 'CT_favored', 'T_streak', 'CT_performing')",0.3756906077348066,0.6243093922651933
"('T_strong', 'CT_favored', 'T_slight', 'T_performing')",0.0809961857751851,0.9190038142248149
"('T_strong', 'CT_favored', 'T_slight', 'even')",0.2753547031003678,0.7246452968996322
"('T_strong', 'CT_favored', 'T_slight', 'CT_performing')",0.11175020542317173,0.8882497945768283
"('T_strong', 'CT_favored', 'neutral', 'T_performing')",0.5,0.5
"('T_strong', 'CT_favored', 'neutral', 'even')",0.5,0.5
"('T_strong', 'CT_favored', 'neutral', 'CT_performing')",0.5,0.5
"('T_strong', 'CT_favored', 'CT_slight', 'T_performing')",0.6661742983751846,0.33382570162481534
"('T_strong', 'CT_favored', 'CT_slight', 'even')",0.486119679210364,0.5138803207896361
"('T_strong', 'CT_favored', 'CT_slight', 'CT_performing')",0.6837806301050176,0.3162193698949825
"('T_strong', 'CT_favored', 'CT_streak', 'T_performing')",0.12707182320441987,0.8729281767955801
"('T_strong', 'CT_favored', 'CT_streak', 'even')",0.5,0.5
"('T_strong', 'CT_favored', 'CT_streak', 'CT_performing')",0.8177538668459987,0.18224613315400134
"('T_moderate', 'T_favored', 'T_streak', 'T_performing')",0.43758668515950067,0.5624133148404993
"('T_moderate', 'T_favored', 'T_streak', 'even')",0.3850085178875639,0.6149914821124361
"('T_moderate', 'T_favored', 'T_streak', 'CT_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'T_slight', 'T_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'T_slight', 'even')",0.3848122866894198,0.6151877133105802
"('T_moderate', 'T_favored', 'T_slight', 'CT_performing')",0.3357664233576642,0.6642335766423357
"('T_moderate', 'T_favored', 'neutral', 'T_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'neutral', 'even')",0.5,0.5
"('T_moderate', 'T_favored', 'neutral', 'CT_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'CT_slight', 'T_performing')",0.25274725274725274,0.7472527472527473
"('T_moderate', 'T_favored', 'CT_slight', 'even')",0.6424050632911392,0.3575949367088608
"('T_moderate', 'T_favored', 'CT_slight', 'CT_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'CT_streak', 'T_performing')",0.5,0.5
"('T_moderate', 'T_favored', 'CT_streak', 'even')",0.9787234042553192,0.021276595744680854
"('T_moderate', 'T_favored', 'CT_streak', 'CT_performing')",0.7472527472527473,0.25274725274725274
"('T_moderate', 'balanced', 'T_streak', 'T_performing')",0.3789980186810077,0.6210019813189923
"('T_moderate', 'balanced', 'T_streak', 'even')",0.45391523554435165,0.5460847644556484
"('T_moderate', 'balanced', 'T_streak', 'CT_performing')",0.2870662460567823,0.7129337539432177
"('T_moderate', 'balanced', 'T_slight', 'T_performing')",0.27318548387096775,0.7268145161290323
"('T_moderate', 'balanced', 'T_slight', 'even')",0.3727146019512995,0.6272853980487005
"('T_moderate', 'balanced', 'T_slight', 'CT_performing')",0.13114754098360656,0.8688524590163934
"('T_moderate', 'balanced', 'neutral', 'T_performing')",0.5,0.5
"('T_moderate', 'balanced', 'neutral', 'even')",0.5,0.5
"('T_moderate', 'balanced', 'neutral', 'CT_performing')",0.5,0.5
