feature,importance
ct_won_prev,16542.58347854614
ct_win_streak,9421.360746908187
score_total,3176.315761566162
equipment_value_ct_prev,3076.4657933712006
equipment_diff_prev,2862.6729377746583
damage_diff_actual_lag1,2660.481667137146
equipment_value_t_prev,2659.6784352779387
round_num_normalized,2438.595040273666
survivors_diff_actual_lag1,2225.193346977234
damage_diff_actual_lag2,2101.3094424724577
ct_score,1813.3065111398696
t_score,1717.7499176979065
damage_diff_actual_roll3,1655.9944685935975
kills_diff_actual_lag1,1582.4521286010743
headshot_pct_t_actual_roll5,1498.504292821884
damage_diff_actual_lag3,1430.01606593132
headshot_pct_ct_actual_roll3,1381.2576748847962
headshot_pct_t_actual_roll3,1341.9188313722611
kills_diff_actual_roll3,1334.0433107852937
damage_diff_actual_roll5,1321.3673092365266
headshot_pct_ct_actual_roll5,1286.4626593112946
ct_score_pct,1273.7430070400237
kills_diff_actual_lag2,1057.0068652153016
survivors_diff_actual_lag2,915.3675676345825
score_diff,912.2087951660156
kills_diff_actual_roll5,821.1539958000183
survivors_diff_actual_roll3,716.2390125274658
survivors_diff_actual_roll5,636.270118522644
headshot_pct_t_actual_lag3,622.0854756355286
headshot_pct_ct_actual_lag3,573.9586213111877
headshot_pct_ct_actual_lag2,568.5201448917389
headshot_pct_ct_actual_lag1,556.0634505748749
headshot_pct_t_actual_lag2,553.9173271894455
headshot_pct_t_actual_lag1,522.7308119297028
kills_diff_actual_lag3,340.47869448661805
survivors_diff_actual_lag3,304.17034816741943
map_de_dust2,176.04082760810851
map_de_anubis,161.55888209342956
map_de_nuke,133.73590564727783
map_de_mirage,96.68566164970397
map_de_inferno,90.1916479587555
map_de_train,89.67582001686097
is_overtime,86.49124546051026
is_first_half,69.10706806182861
is_second_half,66.27373332977295
map_de_ancient,65.98811225891113
map_de_overpass,22.627635955810547
