match_id,demo_file,map_name,date,total_rounds,team1_name,team2_name,team1_score,team2_score,winner,match_duration_seconds
fff3ae15c0597c9a,g2-vs-faze-m1-ancient-p1,de_ancient,2025-10-25T11:37:21.104166,8,"HeavyGoD, Snax, huNter-, m0NESY, malbsMd","EliGE, broky, frozen, karrigan, rain",4,4,"EliGE, broky, frozen, karrigan, rain",498.14844
8d1892913a8104b3,g2-vs-faze-m2-inferno-p1,de_inferno,2025-10-25T11:37:42.468549,11,"EliGE, broky, frozen, karrigan, rain","HeavyGoD, Snax, huNter-, m0NESY, malbsMd",7,4,"EliGE, broky, frozen, karrigan, rain",701.75
24dd408374decf32,gamerlegion-vs-spirit-m1-anubis-p1,de_anubis,2025-10-25T11:37:57.858684,7,"chopper, donk, magixx, sh1ro, zont1x","PR, REZ, Tauson, sl3nd, ztr",3,4,"PR, REZ, Tauson, sl3nd, ztr",446.3203
d6d5eb27fae09824,liquid-vs-spirit-m1-nuke-p1,de_nuke,2025-10-25T11:38:14.288461,8,"SH1R0, chopper, donk, magixx, zont1x","NAF, NertZ, Twistzz, jks, ultimate",2,6,"NAF, NertZ, Twistzz, jks, ultimate",525.28125
8a5a3616738dd5b9,natus-vincere-vs-spirit-m2-dust2-p2,de_dust2,2025-10-25T11:38:24.042680,1,"Aleksib, b1t, iM, jL, w0nderful","SH1R0, chopper, donk, magixx, zont1x",1,0,"Aleksib, b1t, iM, jL, w0nderful",82.25
d7a0cc77a94764c9,falcons-vs-furia-m1-train,de_train,2025-10-25T11:39:02.079024,20,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY","FalleN, KSCERATO, YEKINDAR, bodyy, molodoy, yuurih",13,7,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",1338.6719
0f2b60b9cdcbfb43,spirit-vs-heroic-m1-anubis,de_anubis,2025-10-25T11:39:53.699817,24,"chopper, donk, magixx, sh1ro, zont1x","LNZ, SunPayus, maden, xfl0ud, yxngstxr",13,11,"chopper, donk, magixx, sh1ro, zont1x",1790.4453
fc536f2ade6f56bc,liquid-vs-the-mongolz-m2-ancient,de_ancient,2025-10-25T11:40:35.807399,21,"NAF-FLY, NertZ, Twistzz, jks, ultimate","910, Senzu, Techno4K, bLitz, mzinho",8,13,"910, Senzu, Techno4K, bLitz, mzinho",1339.1328
4ea350cfc8cbe3ea,astralis-vs-spirit-m4-train,de_train,2025-10-25T11:41:33.797374,29,"chopper, donk, magixx, sh1ro, zont1x","HooXi, Staehr, device, jabbi, stavn",16,13,"chopper, donk, magixx, sh1ro, zont1x",1986.6172
75b37cd079f39a6a,natus-vincere-vs-astralis-m1-nuke,de_nuke,2025-10-25T11:42:37.582306,30,Team1,Team2,19,11,Team1,1908.6094
253a76bf0ef4a0d0,virtus-pro-vs-m80-m1-ancient,de_ancient,2025-10-25T11:43:25.145550,24,Team1,Team2,11,13,Team2,1724.1016
8fcb43b06560cecc,3dmax-vs-astralis-m1-dust2,de_dust2,2025-10-25T11:44:01.956226,21,Team1,Team2,10,11,Team2,1282.5391
1932ffbf05d5958b,mouz-vs-virtuspro-mirage,de_mirage,2025-10-25T11:44:50.745290,24,"Brollan, Jimpphat, Spinx, torzsi, xertioN","FL1T, FL4MUS, ICY, electroNic, fame",11,13,"FL1T, FL4MUS, ICY, electroNic, fame",1804.9531
07d4291408637c43,vitality-vs-falcons-m1-inferno-p1,de_inferno,2025-10-25T11:45:05.552967,5,"ZywOo, apEX, flameZ, mezii, ropz","NiKo, TeSeS, kyousuke, kyxsan, m0NESY",2,3,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",265.1797
097eacb9a194df4e,vitality-vs-falcons-m1-inferno-p3,de_inferno,2025-10-25T11:45:12.211050,1,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY","ZywOo, apEX, flameZ, mezii, ropz",0,1,"ZywOo, apEX, flameZ, mezii, ropz",87.64844
66fb49e845627778,astralis-vs-pain-m2-inferno,de_inferno,2025-10-25T11:46:26.483264,30,"biguzera, dav1deu$, dgt, nqz, snow","HooXi, Magisk, Staehr, dev1ce, jabbi",16,14,"biguzera, dav1deu$, dgt, nqz, snow",2586.4453
14b631a4d11f63a2,g2-vs-the-mongolz-m2-dust2,de_dust2,2025-10-25T11:47:11.739585,20,"910, Mzinho, Senzu, Techno4K, bLitz","HeavyGod, MATYS, SunPayus, huNter, malbsMd",7,13,"HeavyGod, MATYS, SunPayus, huNter, malbsMd",1194.7812
5b05dc0774170814,g2-vs-the-mongolz-m1-mirage,de_mirage,2025-10-25T11:47:58.599844,24,"HeavyGod, MATYS, SunPayus, huNter, malbsMd","910, Mzinho, Senzu, Techno4K, bLitz",11,13,"910, Mzinho, Senzu, Techno4K, bLitz",1570.3125
ecbc5d4b5a136672,gamerlegion-vs-liquid-m2-inferno,de_inferno,2025-10-25T11:48:47.510953,19,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate","Kursy, PR, REZ, Tauson, ztr",6,13,"Kursy, PR, REZ, Tauson, ztr",1597.6328
642fef2b860aa900,gamerlegion-vs-liquid-m1-dust2,de_dust2,2025-10-25T11:49:12.052374,14,"Kursy, PR, REZ, Tauson, ztr","NAF-FLY, NertZ, Twistzz, siuhy, ultimate",13,1,"Kursy, PR, REZ, Tauson, ztr",742.0469
f68f9713f8116a88,gamerlegion-vs-tyloo-m2-ancient,de_ancient,2025-10-25T11:49:50.152956,17,"Attacker, JamYoung, Jee, Mercury, Moseyuh","Kursy, PR, REZ, Tauson, ztr",13,4,"Attacker, JamYoung, Jee, Mercury, Moseyuh",1392.8516
798387611cde1282,gamerlegion-vs-tyloo-m1-inferno,de_inferno,2025-10-25T11:50:24.913280,16,"Kursy, PR, REZ, Tauson, ztr","Attacker, JamYoung, Jee, Mercury, Moseyuh",3,13,"Attacker, JamYoung, Jee, Mercury, Moseyuh",1066.5547
321534e87775aa53,heroic-vs-legacy-m3-dust2,de_dust2,2025-10-25T11:50:59.122448,18,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr","dumau, latto, lux, n1ssim, saadzin",5,13,"dumau, latto, lux, n1ssim, saadzin",1143.5703
f93957b8eb9529f4,heroic-vs-legacy-m2-mirage,de_mirage,2025-10-25T11:51:47.159180,29,"dumau, latto, lux, n1ssim, saadzin","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",16,13,"dumau, latto, lux, n1ssim, saadzin",1567.3203
0f9611351060dbeb,heroic-vs-legacy-m1-nuke,de_nuke,2025-10-25T11:52:28.012215,22,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr","dumau, latto, lux, n1ssim, saadzin",13,9,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr",1276.0625
c53156edd4448c0c,heroic-vs-pain-m3-nuke,de_nuke,2025-10-25T11:53:53.477913,42,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr","biguzera, dav1deu$, dgt, nqz, snow",20,22,"biguzera, dav1deu$, dgt, nqz, snow",2763.4844
606099beff21b88b,heroic-vs-pain-m2-mirage,de_mirage,2025-10-25T11:54:47.064028,23,"biguzera, dav1deu$, dgt, nqz, snow","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",13,10,"biguzera, dav1deu$, dgt, nqz, snow",1404.9375
70bc68a4dd3366e5,heroic-vs-pain-m1-dust2,de_dust2,2025-10-25T11:55:35.033313,24,"biguzera, dav1deu$, dgt, nqz, snow","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",11,13,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr",1602.4609
9aae296a2746b8cd,legacy-vs-g2-m2-ancient,de_ancient,2025-10-25T11:56:12.794584,20,"dumau, latto, lux, n1ssim, saadzin","HeavyGod, MATYS, SunPayus, huNter, malbsMd",7,13,"HeavyGod, MATYS, SunPayus, huNter, malbsMd",1080.4609
962e82bad31716cd,legacy-vs-g2-m1-train,de_train,2025-10-25T11:56:41.753696,15,"HeavyGod, MATYS, SunPayus, huNter, malbsMd","dumau, latto, lux, n1ssim, saadzin",13,2,"HeavyGod, MATYS, SunPayus, huNter, malbsMd",976.2422
bc3b86768e588c35,liquid-vs-heroic-m3-mirage,de_mirage,2025-10-25T11:57:31.953550,23,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",13,10,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate",1957.4531
755d6afe903693a6,liquid-vs-heroic-m2-dust2,de_dust2,2025-10-25T11:58:20.722287,21,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",8,13,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr",1472.3906
c9ee103dc3e7c9d2,liquid-vs-heroic-m1-ancient,de_ancient,2025-10-25T11:58:57.769019,21,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate","Alkaren, LNZ, nilo, xfl0ud, yxngstxr",13,8,"NAF-FLY, NertZ, Twistzz, siuhy, ultimate",1183.9297
0746a84188051bde,pain-vs-virtus-pro-m3-inferno,de_inferno,2025-10-25T11:59:48.361863,22,"FL1T, ICY, Perfecto, fame, tO0RO","biguzera, dav1deu$, dgt, nqz, snow",9,13,"biguzera, dav1deu$, dgt, nqz, snow",1557.7109
a99403a9cc8aa799,pain-vs-virtus-pro-m2-mirage,de_mirage,2025-10-25T12:00:32.896077,24,"FL1T, ICY, Perfecto, fame, tO0RO","biguzera, dav1deu$, dgt, nqz, snow",13,11,"FL1T, ICY, Perfecto, fame, tO0RO",1446.6797
