match_id,round_num,round_winner,round_end_reason,round_duration,bomb_planted,bomb_site,ct_equipment_value,t_equipment_value,ct_players_alive_end,t_players_alive_end
fff3ae15c0597c9a,1,t,ct_killed,30.765625,true,BombsiteB,4350,4650,0,4
fff3ae15c0597c9a,2,ct,bomb_defused,66.77344,true,BombsiteB,10200,19900,2,0
fff3ae15c0597c9a,3,ct,bomb_defused,41.585938,true,BombsiteA,24850,1000,3,0
fff3ae15c0597c9a,4,t,ct_killed,59.554688,true,BombsiteA,26150,24700,0,2
fff3ae15c0597c9a,5,ct,bomb_defused,74.39844,true,BombsiteB,16950,23650,3,0
fff3ae15c0597c9a,6,ct,t_killed,51.695312,false,,28600,2600,4,0
fff3ae15c0597c9a,7,t,bomb_exploded,73.46094,true,BombsiteA,29950,23150,1,2
fff3ae15c0597c9a,8,t,bomb_exploded,79.90625,true,BombsiteB,22450,23650,1,2
8d1892913a8104b3,1,ct,t_killed,47.359375,false,,4250,4250,4,0
8d1892913a8104b3,2,ct,t_killed,26.664062,false,,19900,1400,5,0
8d1892913a8104b3,3,t,ct_killed,48.820312,true,BombsiteA,20650,22800,0,2
8d1892913a8104b3,4,ct,time_ran_out,67.5,false,,25000,22750,5,2
8d1892913a8104b3,5,ct,t_killed,61.03125,false,,28450,15650,4,0
8d1892913a8104b3,6,ct,t_killed,36.820312,false,,29950,3950,5,0
8d1892913a8104b3,7,t,bomb_exploded,100.046875,true,BombsiteA,30950,24500,1,4
8d1892913a8104b3,8,t,bomb_exploded,50.328125,true,BombsiteB,30100,25200,1,3
8d1892913a8104b3,9,t,bomb_exploded,98.19531,true,BombsiteB,26350,25400,3,5
8d1892913a8104b3,10,ct,bomb_defused,63.984375,true,BombsiteB,24950,25300,1,0
8d1892913a8104b3,11,ct,bomb_defused,73.49219,true,BombsiteA,25700,25300,1,0
24dd408374decf32,1,t,bomb_exploded,70.67969,true,BombsiteA,4050,4000,1,2
24dd408374decf32,2,ct,t_killed,27.101562,false,,11250,21650,2,0
24dd408374decf32,3,ct,t_killed,47.820312,false,,24400,8000,3,0
24dd408374decf32,4,ct,t_killed,53.546875,false,,24200,1500,5,0
24dd408374decf32,5,t,ct_killed,74.71875,true,BombsiteB,28800,22200,0,3
24dd408374decf32,6,t,bomb_exploded,102.61719,true,BombsiteA,23250,25000,1,3
24dd408374decf32,7,t,ct_killed,52.328125,true,BombsiteB,6100,27450,0,5
d6d5eb27fae09824,1,t,ct_killed,37.804688,true,BombsiteA,4200,4250,0,3
d6d5eb27fae09824,2,t,bomb_exploded,70.96094,true,BombsiteB,10100,19100,4,4
d6d5eb27fae09824,3,ct,t_killed,58.539062,false,,11450,18300,1,0
d6d5eb27fae09824,4,t,bomb_exploded,61.257812,true,BombsiteB,28750,20850,1,2
d6d5eb27fae09824,5,ct,time_ran_out,87.52344,false,,21750,22950,4,1
d6d5eb27fae09824,6,t,bomb_exploded,63.273438,true,BombsiteB,28850,16500,1,3
d6d5eb27fae09824,7,t,ct_killed,69.09375,true,BombsiteA,10350,26000,0,1
d6d5eb27fae09824,8,t,bomb_exploded,56.820312,true,BombsiteB,23300,25200,4,4
8a5a3616738dd5b9,1,ct,t_killed,79.69531,false,,26600,26250,5,0
0f2b60b9cdcbfb43,1,ct,bomb_defused,88.75,true,BombsiteA,4650,4300,2,0
0f2b60b9cdcbfb43,2,t,bomb_exploded,55.8125,true,BombsiteB,17900,13250,2,5
0f2b60b9cdcbfb43,3,t,bomb_exploded,83.890625,true,BombsiteA,13450,19200,2,3
0f2b60b9cdcbfb43,4,t,bomb_exploded,78.796875,true,BombsiteB,7200,22500,1,4
0f2b60b9cdcbfb43,5,t,bomb_exploded,82.5,true,BombsiteA,23850,23650,1,1
0f2b60b9cdcbfb43,6,t,ct_killed,62.203125,true,BombsiteB,21850,23450,0,1
0f2b60b9cdcbfb43,7,ct,time_ran_out,67.5,false,,12250,27550,4,1
0f2b60b9cdcbfb43,8,t,ct_killed,81.359375,true,BombsiteA,29950,27550,0,1
0f2b60b9cdcbfb43,9,t,bomb_exploded,63.671875,true,BombsiteB,27900,29300,1,2
0f2b60b9cdcbfb43,10,t,ct_killed,69.86719,true,BombsiteB,20000,27250,0,2
0f2b60b9cdcbfb43,11,ct,time_ran_out,83.859375,false,,13600,25900,2,1
0f2b60b9cdcbfb43,12,t,ct_killed,74.765625,true,BombsiteB,24100,28050,0,2
0f2b60b9cdcbfb43,13,t,ct_killed,152.5625,false,,4300,4200,0,4
0f2b60b9cdcbfb43,14,t,ct_killed,45.9375,false,,1000,17650,0,5
0f2b60b9cdcbfb43,15,ct,t_killed,38.09375,false,,23950,18650,2,0
0f2b60b9cdcbfb43,16,t,bomb_exploded,54.242188,true,BombsiteB,24800,23500,3,5
0f2b60b9cdcbfb43,17,t,ct_killed,49.765625,true,BombsiteA,13200,25500,0,2
0f2b60b9cdcbfb43,18,ct,t_killed,73.53906,false,,24350,25500,3,0
0f2b60b9cdcbfb43,19,t,bomb_exploded,58.867188,true,BombsiteA,25850,23700,2,4
0f2b60b9cdcbfb43,20,t,bomb_exploded,71.08594,true,BombsiteB,9550,25700,3,5
0f2b60b9cdcbfb43,21,t,ct_killed,42.578125,true,BombsiteA,26850,27650,0,2
0f2b60b9cdcbfb43,22,t,ct_killed,92.15625,true,BombsiteB,9050,27850,0,1
0f2b60b9cdcbfb43,23,t,ct_killed,75.21875,true,BombsiteB,27500,27850,0,4
0f2b60b9cdcbfb43,24,t,ct_killed,61.664062,true,BombsiteA,19250,28550,0,0
fc536f2ade6f56bc,1,ct,t_killed,67.57031,false,,4150,4600,5,0
fc536f2ade6f56bc,2,ct,t_killed,43.132812,false,,20850,1000,5,0
fc536f2ade6f56bc,3,t,ct_killed,50.765625,true,BombsiteA,22750,23400,0,1
fc536f2ade6f56bc,4,t,ct_killed,44.257812,true,BombsiteA,23600,21000,0,1
fc536f2ade6f56bc,5,t,ct_killed,63.84375,true,BombsiteA,1600,22150,0,4
fc536f2ade6f56bc,6,t,bomb_exploded,74.02344,true,BombsiteB,23400,23750,1,1
fc536f2ade6f56bc,7,ct,bomb_defused,63.070312,true,BombsiteB,6550,25300,2,0
fc536f2ade6f56bc,8,ct,t_killed,30.570312,false,,28300,21400,4,0
fc536f2ade6f56bc,9,ct,t_killed,25.398438,false,,29750,1500,4,0
fc536f2ade6f56bc,10,ct,t_killed,64.5,false,,30250,23100,3,0
fc536f2ade6f56bc,11,ct,t_killed,57.742188,false,,29750,7750,4,0
fc536f2ade6f56bc,12,t,ct_killed,74.390625,true,BombsiteA,31750,24600,0,2
fc536f2ade6f56bc,13,ct,bomb_defused,148.94531,true,BombsiteA,4200,4350,4,0
fc536f2ade6f56bc,14,ct,t_killed,52.804688,false,,23150,13550,2,0
fc536f2ade6f56bc,15,ct,t_killed,25.625,false,,26000,4200,4,0
fc536f2ade6f56bc,16,ct,bomb_defused,59.164062,true,BombsiteA,28750,25000,1,0
fc536f2ade6f56bc,17,ct,bomb_defused,77.52344,true,BombsiteB,29950,23800,1,0
fc536f2ade6f56bc,18,t,bomb_exploded,94.9375,true,BombsiteB,29650,22000,1,2
fc536f2ade6f56bc,19,ct,t_killed,45.460938,false,,17950,23900,2,0
fc536f2ade6f56bc,20,ct,t_killed,48.796875,false,,26850,20000,4,0
fc536f2ade6f56bc,21,ct,bomb_defused,50.882812,true,BombsiteA,28150,18500,0,0
4ea350cfc8cbe3ea,1,ct,t_killed,25.054688,false,,4000,4350,4,0
4ea350cfc8cbe3ea,2,ct,bomb_defused,56.15625,true,BombsiteB,20800,1000,5,0
4ea350cfc8cbe3ea,3,t,ct_killed,42.710938,false,,26100,25400,0,2
4ea350cfc8cbe3ea,4,t,ct_killed,71.72656,true,BombsiteA,23250,24600,0,3
4ea350cfc8cbe3ea,5,t,ct_killed,44.25,false,,1100,25600,0,2
4ea350cfc8cbe3ea,6,t,bomb_exploded,66.89844,true,BombsiteA,24000,27450,1,2
4ea350cfc8cbe3ea,7,t,ct_killed,55.414062,false,,10550,27450,0,2
4ea350cfc8cbe3ea,8,t,ct_killed,44.6875,true,BombsiteA,26950,27550,0,3
4ea350cfc8cbe3ea,9,t,ct_killed,81.94531,true,BombsiteA,9500,25900,0,4
4ea350cfc8cbe3ea,10,ct,t_killed,41.453125,false,,27050,28150,4,0
4ea350cfc8cbe3ea,11,t,ct_killed,54.304688,true,BombsiteB,30400,27450,0,3
4ea350cfc8cbe3ea,12,ct,t_killed,27.78125,false,,22250,28050,5,0
4ea350cfc8cbe3ea,13,t,ct_killed,52.148438,true,BombsiteB,4300,4750,0,2
4ea350cfc8cbe3ea,14,ct,t_killed,42.140625,false,,11750,18050,2,0
4ea350cfc8cbe3ea,15,ct,bomb_defused,78.34375,true,BombsiteA,21500,10600,2,0
4ea350cfc8cbe3ea,16,t,ct_killed,40.90625,true,BombsiteB,29450,4300,0,3
4ea350cfc8cbe3ea,17,t,bomb_exploded,69.05469,true,BombsiteB,10500,28650,3,5
4ea350cfc8cbe3ea,18,t,bomb_exploded,99.58594,true,BombsiteA,8950,29150,1,4
4ea350cfc8cbe3ea,19,t,bomb_exploded,83.96094,true,BombsiteA,22500,27850,3,3
4ea350cfc8cbe3ea,20,ct,t_killed,75.22656,false,,26900,28050,4,0
4ea350cfc8cbe3ea,21,t,ct_killed,66.46094,true,BombsiteA,28450,27550,0,2
4ea350cfc8cbe3ea,22,t,bomb_exploded,65.22656,true,BombsiteB,23700,27750,2,4
4ea350cfc8cbe3ea,23,t,ct_killed,46.921875,true,BombsiteB,24700,28050,0,2
4ea350cfc8cbe3ea,24,ct,t_killed,57.28125,false,,20550,28650,2,0
4ea350cfc8cbe3ea,25,ct,t_killed,81.63281,false,,26600,26850,2,0
4ea350cfc8cbe3ea,26,t,ct_killed,61.75,true,BombsiteA,28850,27150,0,1
4ea350cfc8cbe3ea,27,t,ct_killed,25.9375,false,,28350,27950,0,4
4ea350cfc8cbe3ea,28,ct,t_killed,39.25,false,,30800,27650,3,0
4ea350cfc8cbe3ea,29,ct,t_killed,45.953125,false,,32450,28050,0,0
253a76bf0ef4a0d0,1,ct,time_ran_out,4.4921875,false,,0,0,0,0
253a76bf0ef4a0d0,2,t,ct_killed,43.882812,true,BombsiteA,4150,4600,0,4
