feature,importance
ct_won_prev,16335.244361209869
equipment_diff,13953.639747858047
ct_win_streak,7447.290347290039
equipment_value_t,6133.72269897461
equipment_value_ct,4029.354877901077
score_total,3765.226262331009
round_num_normalized,2035.273036503792
ct_score,1934.0824006080627
damage_diff_actual_lag1,1879.7733378887176
survivors_diff_actual_lag1,1741.075166130066
t_score,1663.3076976776124
damage_diff_actual_lag2,1601.4980813026427
headshot_pct_t_actual_roll5,1379.6008351802825
kills_diff_actual_lag1,1293.4991126060486
damage_diff_actual_lag3,1213.296787071228
headshot_pct_ct_actual_roll5,1210.9456034660338
damage_diff_actual_roll3,1181.8987797260284
headshot_pct_t_actual_roll3,1169.9009554862976
headshot_pct_ct_actual_roll3,1148.6823945045471
damage_diff_actual_roll5,1108.9691051006316
kills_diff_actual_roll3,948.7611109733582
ct_score_pct,906.7189881801605
score_diff,906.1647956371307
kills_diff_actual_lag2,799.007414484024
survivors_diff_actual_roll5,693.0625926017761
kills_diff_actual_roll5,590.3695787906647
headshot_pct_t_actual_lag2,588.4128224849701
headshot_pct_ct_actual_lag3,586.8396808624268
headshot_pct_ct_actual_lag2,549.0486253261566
headshot_pct_t_actual_lag1,536.1301953315735
headshot_pct_ct_actual_lag1,505.4544946670532
headshot_pct_t_actual_lag3,482.27217264175414
survivors_diff_actual_lag2,447.5926246166229
survivors_diff_actual_roll3,414.8689691543579
kills_diff_actual_lag3,249.25265963077544
survivors_diff_actual_lag3,238.40627298355102
map_de_dust2,175.43926825523377
map_de_anubis,136.44734392166137
map_de_nuke,124.2932580947876
is_overtime,118.56806507110596
map_de_train,104.56673617362976
map_de_mirage,101.70901079177857
map_de_inferno,98.99834189414977
map_de_ancient,69.34869785308838
is_first_half,54.9696382522583
is_second_half,46.99757165908814
map_de_overpass,13.237126016616822
