feature,importance
damage_diff_lag1,6342.481963062286
kill_diff_lag1,4336.72490940094
equipment_diff_lag1,3478.040020132065
equipment_diff_lag2,1434.9597444057465
equipment_diff_lag3,1147.057705450058
damage_diff_lag2,1118.7628351688386
damage_diff_lag3,1053.351388168335
round_in_half,1004.7548446655273
damage_diff_lag5,848.0283320903778
equipment_diff_lag5,831.6492262363433
damage_diff_roll5,824.3398359298706
ct_streak,635.8286838054657
t_score,583.0757830142975
damage_diff_roll3,579.9170018672943
kill_diff_roll3,540.0950213432312
kill_diff_roll5,509.53003215789795
kill_diff_lag2,492.8664580821991
score_diff_lag5,490.7262589931488
ct_score,413.4790519714355
ct_streak_lag1,345.34754328727723
ct_streak_lag2,317.17143535614014
score_diff_lag3,305.7755407810211
score_diff,273.80300521850586
kill_diff_lag3,268.4658895492554
score_diff_lag2,267.1282935142517
ct_streak_lag5,234.57568850517274
score_diff_lag1,221.92579441070558
kill_diff_lag5,195.6104383468628
ct_streak_lag3,190.43329668045044
