round,ct_win_prob,t_win_prob,ct_score,t_score,round_winner,match_id
1,0.6530708653558237,0.3469291346441763,1,0,ct,b8e790c8bfbce48f
2,0.7234115628921893,0.27658843710781067,2,0,ct,b8e790c8bfbce48f
3,0.7787049566998034,0.22129504330019656,3,0,ct,b8e790c8bfbce48f
4,0.8247370103601184,0.17526298963988163,4,0,ct,b8e790c8bfbce48f
5,0.8642546536908147,0.13574534630918533,5,0,ct,b8e790c8bfbce48f
6,0.8989904607012156,0.10100953929878442,6,0,ct,b8e790c8bfbce48f
7,0.7070217272367689,0.2929782727632311,6,1,t,b8e790c8bfbce48f
8,0.6136717704411441,0.38632822955885593,6,2,t,b8e790c8bfbce48f
9,0.5328859523911056,0.4671140476088944,6,3,t,b8e790c8bfbce48f
10,0.4626241007509929,0.5373758992490071,6,4,t,b8e790c8bfbce48f
11,0.5762759935609519,0.42372400643904806,7,4,ct,b8e790c8bfbce48f
12,0.5038338965489382,0.4961661034510618,7,5,t,b8e790c8bfbce48f
13,0.588904198689157,0.411095801310843,8,5,ct,b8e790c8bfbce48f
14,0.6521615628921893,0.3478384371078107,9,5,ct,b8e790c8bfbce48f
15,0.5637918797422156,0.43620812025778444,9,6,t,b8e790c8bfbce48f
16,0.6269597542447127,0.37304024575528727,10,6,ct,b8e790c8bfbce48f
17,0.6886089313132417,0.31139106868675825,11,6,ct,b8e790c8bfbce48f
18,0.7274549566998036,0.27254504330019635,12,6,ct,b8e790c8bfbce48f
19,0.7630703436934516,0.2369296563065484,13,6,ct,b8e790c8bfbce48f
20,0.8079775974137583,0.1920224025862417,14,6,ct,b8e790c8bfbce48f
21,0.6624363810209879,0.3375636189790121,14,7,t,b8e790c8bfbce48f
22,0.7164041986891571,0.28359580131084294,15,7,ct,b8e790c8bfbce48f
1,0.34692913464417624,0.6530708653558237,0,1,t,38ef49dcbadc29d7
2,0.5197375320224904,0.4802624679775096,1,1,ct,38ef49dcbadc29d7
3,0.6088282295588558,0.39117177044114415,2,1,ct,38ef49dcbadc29d7
4,0.6759271789220257,0.3240728210779743,3,1,ct,38ef49dcbadc29d7
5,0.7303322484553563,0.26966775154464373,4,1,ct,38ef49dcbadc29d7
6,0.7928260822622432,0.20717391773775684,5,1,ct,38ef49dcbadc29d7
7,0.6213735790886208,0.3786264209113792,5,2,t,38ef49dcbadc29d7
8,0.691404198689157,0.30859580131084297,6,2,ct,38ef49dcbadc29d7
9,0.738449441680068,0.261550558319932,7,2,ct,38ef49dcbadc29d7
10,0.7816216233664701,0.21837837663352988,8,2,ct,38ef49dcbadc29d7
11,0.6425060577210993,0.35749394227890074,8,3,t,38ef49dcbadc29d7
12,0.728308960593919,0.27169103940608097,9,3,ct,38ef49dcbadc29d7
13,0.6291513568663986,0.37084864313360144,9,4,t,38ef49dcbadc29d7
14,0.5561717704411442,0.4438282295588558,9,5,t,38ef49dcbadc29d7
15,0.48982445506490246,0.5101755449350975,9,6,t,38ef49dcbadc29d7
16,0.4498926192695115,0.5501073807304885,9,7,t,38ef49dcbadc29d7
1,0.34692913464417624,0.6530708653558237,0,1,t,6261f4aa942b7201
2,0.2765884371078109,0.7234115628921891,0,2,t,6261f4aa942b7201
3,0.2212950433001965,0.7787049566998034,0,3,t,6261f4aa942b7201
4,0.17526298963988174,0.8247370103601183,0,4,t,6261f4aa942b7201
5,0.13574534630918544,0.8642546536908146,0,5,t,6261f4aa942b7201
6,0.32307086535582374,0.6769291346441763,1,5,ct,6261f4aa942b7201
7,0.4168837851144114,0.5831162148855886,2,5,ct,6261f4aa942b7201
8,0.32859580131084287,0.6714041986891571,2,6,t,6261f4aa942b7201
9,0.28155055831993203,0.718449441680068,2,7,t,6261f4aa942b7201
10,0.4047375320224904,0.5952624679775096,3,7,ct,6261f4aa942b7201
11,0.31801887823391983,0.6819811217660802,3,8,t,6261f4aa942b7201
12,0.3966422939272523,0.6033577060727477,4,8,ct,6261f4aa942b7201
13,0.3313735790886207,0.6686264209113792,4,9,t,6261f4aa942b7201
14,0.2879426037744775,0.7120573962255226,4,10,t,6261f4aa942b7201
15,0.22756955310411806,0.7724304468958819,4,11,t,6261f4aa942b7201
16,0.3569597542447126,0.6430402457552874,5,11,ct,6261f4aa942b7201
17,0.2737273802582113,0.7262726197417887,5,12,t,6261f4aa942b7201
18,0.2320051037744775,0.7679948962255225,5,13,t,6261f4aa942b7201
19,0.20200932901448218,0.7979906709855178,5,14,t,6261f4aa942b7201
20,0.1763235957004878,0.8236764042995122,5,15,t,6261f4aa942b7201
21,0.2940853581094469,0.7059146418905531,6,15,ct,6261f4aa942b7201
22,0.24192913464417629,0.7580708653558237,6,16,t,6261f4aa942b7201
23,0.21200510377447754,0.7879948962255224,6,17,t,6261f4aa942b7201
1,0.6530708653558237,0.3469291346441763,1,0,ct,8fb1b8c03d99b851
2,0.4802624679775096,0.5197375320224904,1,1,t,8fb1b8c03d99b851
3,0.3911717704411442,0.6088282295588558,1,2,t,8fb1b8c03d99b851
4,0.32407282107797425,0.6759271789220258,1,3,t,8fb1b8c03d99b851
5,0.46807086535582365,0.5319291346441763,2,3,ct,8fb1b8c03d99b851
6,0.5279948962255225,0.47200510377447746,3,3,ct,8fb1b8c03d99b851
7,0.5984271789220257,0.4015728210779743,4,3,ct,8fb1b8c03d99b851
8,0.4902624679775096,0.5097375320224904,4,4,t,8fb1b8c03d99b851
9,0.5800405623255207,0.4199594376744793,5,4,ct,8fb1b8c03d99b851
10,0.6270226740033003,0.37297732599669975,6,4,ct,8fb1b8c03d99b851
11,0.5175060577210993,0.48249394227890074,6,5,t,8fb1b8c03d99b851
12,0.583308960593919,0.416691039406081,7,5,ct,8fb1b8c03d99b851
13,0.6471615628921892,0.3528384371078108,8,5,ct,8fb1b8c03d99b851
14,0.6878716233664703,0.31212837663352966,9,5,ct,8fb1b8c03d99b851
15,0.7250801476150202,0.27491985238497985,10,5,ct,8fb1b8c03d99b851
16,0.7789371933733542,0.2210628066266458,11,5,ct,8fb1b8c03d99b851
17,0.809900548420514,0.19009945157948605,12,5,ct,8fb1b8c03d99b851
18,0.6540124679775097,0.34598753202249033,12,6,t,8fb1b8c03d99b851
19,0.7164041986891571,0.28359580131084294,13,6,ct,8fb1b8c03d99b851
20,0.626626104341146,0.37337389565885404,13,7,t,8fb1b8c03d99b851
21,0.6819114450659687,0.3180885549340313,14,7,ct,8fb1b8c03d99b851
22,0.7146615628921891,0.2853384371078109,15,7,ct,8fb1b8c03d99b851
1,0.6530708653558237,0.3469291346441763,1,0,ct,4d8f37f94f2a8fbc
2,0.7234115628921893,0.27658843710781067,2,0,ct,4d8f37f94f2a8fbc
3,0.7787049566998034,0.22129504330019656,3,0,ct,4d8f37f94f2a8fbc
4,0.8247370103601184,0.17526298963988163,4,0,ct,4d8f37f94f2a8fbc
5,0.8642546536908147,0.13574534630918533,5,0,ct,4d8f37f94f2a8fbc
1,0.6530708653558237,0.3469291346441763,1,0,ct,79a95471652d68d2
2,0.4802624679775096,0.5197375320224904,1,1,t,79a95471652d68d2
3,0.3911717704411442,0.6088282295588558,1,2,t,79a95471652d68d2
4,0.32407282107797425,0.6759271789220258,1,3,t,79a95471652d68d2
5,0.46807086535582365,0.5319291346441763,2,3,ct,79a95471652d68d2
6,0.5279948962255225,0.47200510377447746,3,3,ct,79a95471652d68d2
7,0.4355402457552874,0.5644597542447126,3,4,t,79a95471652d68d2
